kanji,oc_family_first,oc_family_other,oc_family_last,oc_given_first,oc_given_other,oc_given_last,lc_family_1,lc_family_2,lc_family_3,lc_family_4,lc_given_1,lc_given_2,lc_given_3,lc_given_4
保,41,80,232,64,40,116,1,173,179,0,11,168,41,0
信,12,0,6,349,0,146,0,18,0,0,20,449,26,0
俣,1,0,36,0,0,0,0,37,0,0,0,0,0,0
修,0,0,0,133,0,117,0,0,0,0,111,135,4,0
倉,103,1,235,0,0,0,1,333,5,0,0,0,0,0
倫,0,0,0,35,0,13,0,0,0,0,3,43,2,0
健,0,0,0,634,0,164,0,0,0,0,158,466,174,0
優,0,0,0,202,2,52,0,0,0,0,46,195,15,0
允,0,0,0,4,0,8,0,0,0,0,2,10,0,0
元,22,0,146,89,0,45,1,166,1,0,34,96,4,0
充,0,0,0,62,2,61,0,0,0,0,28,92,5,0
光,33,1,33,302,2,122,1,64,2,0,28,375,23,0
克,0,0,0,224,1,35,0,0,0,0,7,251,2,0
児,42,1,3,0,0,18,0,45,1,0,0,18,0,0
